coolant_mass,engine_specific_impulse_sl_opt,landing_delta_v,engine_mixture_ratio,gross_mass,dry_mass,total_hydrogen_mass,total_oxygen_mass,acs_propellant_mass
2250.0,325.48059,250.0,5.4,251672.01918123337,34708.45564896581,48022.75506814907,168175.80846411845,765
2250.0,325.48059,250.0,6.0,251672.01918123337,34708.45564896581,48022.75506814907,168175.80846411845,765
2250.0,325.48059,250.0,6.6000000000000005,251672.01918123337,34708.45564896581,48022.75506814907,168175.80846411845,765
2250.0,325.48059,387.5,5.4,269419.2862179758,36399.75642912129,50930.327950454,181324.20183840048,765
2250.0,325.48059,387.5,6.0,269419.2862179758,36399.75642912129,50930.327950454,181324.20183840048,765
2250.0,325.48059,387.5,6.6000000000000005,269419.2862179758,36399.75642912129,50930.327950454,181324.20183840048,765
2250.0,325.48059,525.0,5.4,289746.4086738337,38329.28707718738,54265.85709712305,196386.2644995232,765
2250.0,325.48059,525.0,6.0,289746.4086738337,38329.28707718738,54265.85709712305,196386.2644995232,765
2250.0,325.48059,525.0,6.6000000000000005,289746.4086738337,38329.28707718738,54265.85709712305,196386.2644995232,765
2250.0,361.6451,250.0,5.4,251672.01918123337,34708.45564896581,48022.75506814907,168175.80846411845,765
2250.0,361.6451,250.0,6.0,251672.01918123337,34708.45564896581,48022.75506814907,168175.80846411845,765
2250.0,361.6451,250.0,6.6000000000000005,251672.01918123337,34708.45564896581,48022.75506814907,168175.80846411845,765
2250.0,361.6451,387.5,5.4,269419.2862179758,36399.75642912129,50930.327950454,181324.20183840048,765
2250.0,361.6451,387.5,6.0,269419.2862179758,36399.75642912129,50930.327950454,181324.20183840048,765
2250.0,361.6451,387.5,6.6000000000000005,269419.2862179758,36399.75642912129,50930.327950454,181324.20183840048,765
2250.0,361.6451,525.0,5.4,289746.4086738337,38329.28707718738,54265.85709712305,196386.2644995232,765
2250.0,361.6451,525.0,6.0,289746.4086738337,38329.28707718738,54265.85709712305,196386.2644995232,765
2250.0,361.6451,525.0,6.6000000000000005,289746.4086738337,38329.28707718738,54265.85709712305,196386.2644995232,765
2250.0,397.80961,250.0,5.4,251672.01918123337,34708.45564896581,48022.75506814907,168175.80846411845,765
2250.0,397.80961,250.0,6.0,251672.01918123337,34708.45564896581,48022.75506814907,168175.80846411845,765
2250.0,397.80961,250.0,6.6000000000000005,251672.01918123337,34708.45564896581,48022.75506814907,168175.80846411845,765
2250.0,397.80961,387.5,5.4,269419.2862179758,36399.75642912129,50930.327950454,181324.20183840048,765
2250.0,397.80961,387.5,6.0,269419.2862179758,36399.75642912129,50930.327950454,181324.20183840048,765
2250.0,397.80961,387.5,6.6000000000000005,269419.2862179758,36399.75642912129,50930.327950454,181324.20183840048,765
2250.0,397.80961,525.0,5.4,289746.4086738337,38329.28707718738,54265.85709712305,196386.2644995232,765
2250.0,397.80961,525.0,6.0,289746.4086738337,38329.28707718738,54265.85709712305,196386.2644995232,765
2250.0,397.80961,525.0,6.6000000000000005,289746.4086738337,38329.28707718738,54265.85709712305,196386.2644995232,765
3000.0,325.48059,250.0,5.4,262703.948982939,35826.444852600485,50588.0481696591,175524.4559606794,765
3000.0,325.48059,250.0,6.0,262703.948982939,35826.444852600485,50588.0481696591,175524.4559606794,765
3000.0,325.48059,250.0,6.6000000000000005,262703.948982939,35826.444852600485,50588.0481696591,175524.4559606794,765
3000.0,325.48059,387.5,5.4,281213.5685688354,37589.8962172992,53635.34687496549,189223.32547657067,765
3000.0,325.48059,387.5,6.0,281213.5685688354,37589.8962172992,53635.34687496549,189223.32547657067,765
3000.0,325.48059,387.5,6.6000000000000005,281213.5685688354,37589.8962172992,53635.34687496549,189223.32547657067,765
